new_id,name
1,adam putnam
2,adam schiff
3,adam smith
4,alan wheat
5,albert wynn
6,alcee hastings
7,alfred mccandless
8,allan swift
9,allen boyd
10,amo houghton
11,ander crenshaw
12,andrea seastrand
13,andrew jacobs
14,anna eshoo
15,anne northup
16,anthony beilenson
17,anthony weiner
18,arthur ravenel
19,artur davis
20,asa hutchinson
21,austin murphy
22,barbara cubin
23,barbara kennelly
24,barbara lee
25,barbara vucanovich
26,barbara-rose collins
27,barney frank
28,baron hill
29,bart gordon
30,bart stupak
31,ben lujan
32,ben quayle
33,benjamin cardin
34,benjamin gilman
35,bennie thompson
36,betty mccollum
37,bill archer
38,bill baker
39,bill barrett
40,bill brewster
41,bill orton
42,bill redmond
43,bill sarpalius
44,bill shuster
45,blanche lambert
46,bob barr
47,bob beauprez
48,bob clement
49,bob etheridge
50,bob filner
51,bob franks
52,bob inglis
53,bob riley
54,bob schaffer
55,bobby rush
56,brad carson
57,brad miller
58,brad schneider
59,brad sherman
60,brian baird
61,brian bilbray
62,brian kerns
63,bruce vento
64,butler derrick
65,c otter
66,c ruppersberger
67,calvin dooley
68,candice miller
69,carolyn kilpatrick
70,carolyn maloney
71,carolyn mccarthy
72,carrie meek
73,cass ballenger
74,cedric richmond
75,chaka fattah
76,charles bass
77,charles canady
78,charles dent
79,charles gonzalez
80,charles norwood
81,charles pickering
82,charles rangel
83,charles schumer
84,charles stenholm
85,charles taylor
86,charles wilson
87,charlie rose
88,chet edwards
89,chris bell
90,chris chocola
91,chris john
92,chris stewart
93,christopher cannon
94,christopher shays
95,ciro rodriguez
96,cleo fields
97,clifford stearns
98,collin peterson
99,constance morella
100,corrine brown
101,craig thomas
102,craig washington
103,curt clawson
104,cynthia mckinney
105,dale kildee
106,dan burton
107,dan hamburg
108,dan miller
109,dan rostenkowski
110,dana rohrabacher
111,daniel frisa
112,daniel glickman
113,daniel lungren
114,daniel schaefer
115,danny davis
116,darlene hooley
117,darrell issa
118,dave camp
119,dave mccurdy
120,dave weldon
121,david bonior
122,david dreier
123,david funderburk
124,david hobson
125,david levy
126,david mann
127,david mcintosh
128,david minge
129,david obey
130,david phelps
131,david roe
132,david scott
133,david skaggs
134,david vitter
135,david wu
136,dean gallo
137,debbie stabenow
138,deborah pryce
139,denise majette
140,dennis cardoza
141,dennis kucinich
142,dennis moore
143,dennis rehberg
144,devin nunes
145,diana degette
146,diane watson
147,dick chrysler
148,dick swett
149,dick zimmer
150,don johnson
151,don sherwood
152,don sundquist
153,donald manzullo
154,donald payne
155,doug ose
156,douglas applegate
157,douglas bereuter
158,e garza
159,e shaw
160,earl blumenauer
161,earl hilliard
162,earl hutto
163,earl pomeroy
164,ed bryant
165,ed case
166,ed pastor
167,ed royce
168,eddie johnson
169,edolphus towns
170,edward pease
171,edward schrock
172,edward whitfield
173,elijah cummings
174,eliot engel
175,elizabeth cheney
176,elizabeth furse
177,ellen tauscher
178,elton gallegly
179,enid waldholtz
180,eric cantor
181,eric fingerhut
182,ernest fletcher
183,ernest istook
184,eva clayton
185,f sensenbrenner
186,felix grucci
187,floyd spence
188,fortney stark
189,frank ballance
190,frank cremeans
191,frank lobiondo
192,frank lucas
193,frank mascara
194,frank pallone
195,frank riggs
196,frank tejeda
197,frank wolf
198,fred grandy
199,frederick boucher
200,frederick heineman
201,frederick upton
202,g montgomery
203,gary ackerman
204,gary condit
205,gary franks
206,gary miller
207,gene green
208,gene taylor
209,george butterfield
210,george darden
211,george gekas
212,george hochbrueckner
213,george nethercutt
214,george radanovich
215,george sangmeister
216,gerald kleczka
217,gerald solomon
218,gerald weller
219,gerry studds
220,gil gutknecht
221,ginny brown-waite
222,glen browder
223,glenn poshard
224,grace napolitano
225,greg ganske
226,greg laughlin
227,greg walden
228,gregory meeks
229,h callahan
230,h lancaster
231,h saxton
232,hakeem jeffries
233,hamilton fish
234,harold ford
235,harold volkmer
236,harris fawell
237,harry johnston
238,heather wilson
239,helen bentley
240,helen chenoweth
241,henry bonilla
242,henry brown
243,henry hyde
244,henry waxman
245,herbert bateman
246,hilda solis
247,howard berman
248,howard coble
249,howard mckeon
250,ike skelton
251,ileana ros-lehtinen
252,j forbes
253,j frost
254,j hastert
255,j hayworth
256,j mcmillan
257,j pickle
258,j rowland
259,j watts
260,jack kingston
261,jack metcalf
262,jack quinn
263,james barcia
264,james clyburn
265,james greenwood
266,james inhofe
267,james langevin
268,james longley
269,james mcdermott
270,james moran
271,james oberstar
272,james quillen
273,james rogan
274,james talent
275,james traficant
276,james walsh
277,jamie whitten
278,jan meyers
279,jane harman
280,janice schakowsky
281,jay dickey
282,jay inslee
283,jay johnson
284,jay kim
285,jeb bradley
286,jeb hensarling
287,jeff flake
288,jeff miller
289,jennifer dunn
290,jerrold nadler
291,jerry costello
292,jerry moran
293,jesse jackson
294,jill long
295,jim bacchus
296,jim bunn
297,jim bunning
298,jim chapman
299,jim cooper
300,jim davis
301,jim demint
302,jim gerlach
303,jim gibbons
304,jim jordan
305,jim kolbe
306,jim lightfoot
307,jim marshall
308,jim matheson
309,jim mccrery
310,jim mcgovern
311,jim nussle
312,jim ramstad
313,jim ryun
314,jim slattery
315,jim turner
316,jo bonner
317,jo davis
318,jo emerson
319,joe baca
320,joe barton
321,joe donnelly
322,joe garcia
323,joe knollenberg
324,joe scarborough
325,joe skeen
326,joel hefley
327,john baldacci
328,john boehner
329,john boozman
330,john carter
331,john conyers
332,john cooksey
333,john culberson
334,john delaney
335,john dingell
336,john doolittle
337,john duncan
338,john ensign
339,john hostettler
340,john kasich
341,john kline
342,john lafalce
343,john larson
344,john lewis
345,john linder
346,john mchugh
347,john mica
348,john moakley
349,john murtha
350,john olver
351,john peterson
352,john reed
353,john sarbanes
354,john shadegg
355,john shimkus
356,john spratt
357,john sullivan
358,john sununu
359,john sweeney
360,john tanner
361,john thune
362,john tierney
363,johnny isakson
364,jolene unsoeld
365,jon christensen
366,jon fox
367,jon kyl
368,jon porter
369,jose serrano
370,joseph crowley
371,joseph hoeffel
372,joseph mcdade
373,joseph pitts
374,juanita millender-mcdonald
375,judy biggert
376,julia carson
377,julian dixon
378,karan english
379,karen mccarthy
380,karen shepherd
381,karen thurman
382,katherine clark
383,katherine harris
384,kay granger
385,ken bentsen
386,ken calvert
387,ken lucas
388,kendrick meek
389,kenny hulshof
390,kevin brady
391,kweisi mfume
392,l paxon
393,larry combest
394,larry larocco
395,lee hamilton
396,lee terry
397,leonard boswell
398,les aspin
399,leslie byrne
400,lincoln davis
401,lincoln diaz-balart
402,linda sanchez
403,linda smith
404,lindsey graham
405,lloyd doggett
406,lois capps
407,loretta sanchez
408,louis stokes
409,louise slaughter
410,lucien blackwell
411,lucille roybal-allard
412,luis gutierrez
413,lynn rivers
414,lynn schenk
415,lynn woolsey
416,m carr
417,mac collins
418,major owens
419,marcy kaptur
420,margaret roukema
421,maria cantwell
422,marilyn musgrave
423,mario diaz-balart
424,marion berry
425,marjorie margolies-mezvinsky
426,mark foley
427,mark green
428,mark kennedy
429,mark kirk
430,mark neumann
431,mark souder
432,mark udall
433,marsha blackburn
434,marshall sanford
435,martin hoke
436,martin meehan
437,martin sabo
438,matt salmon
439,maurice hinchey
440,max burns
441,max sandlin
442,maxine waters
443,mel reynolds
444,melissa hart
445,melton hancock
446,melvin watt
447,merrill cook
448,michael burgess
449,michael capuano
450,michael castle
451,michael crapo
452,michael doyle
453,michael flanagan
454,michael forbes
455,michael huffington
456,michael mcnulty
457,michael michaud
458,michael oxley
459,michael simpson
460,michael synar
461,michelle grisham
462,mike espy
463,mike ferguson
464,mike honda
465,mike kopetski
466,mike kreidler
467,mike mcintyre
468,mike pappas
469,mike parker
470,mike pence
471,mike rogers
472,mike ross
473,mike thompson
474,mike ward
475,nancy johnson
476,nancy pelosi
477,nathan deal
478,neil abercrombie
479,newton gingrich
480,nick lampson
481,nick rahall
482,nick smith
483,nicola tsongas
484,nita lowey
485,norman dicks
486,norman mineta
487,norman sisisky
488,nydia velazquez
489,olympia snowe
490,owen pickett
491,pat danner
492,patricia schroeder
493,patrick kennedy
494,patrick tiberi
495,patrick toomey
496,patsy mink
497,paul gillmor
498,paul henry
499,paul kanjorski
500,paul mchale
501,paul ryan
502,pete geren
503,pete sessions
504,peter barca
505,peter blute
506,peter defazio
507,peter deutsch
508,peter hoagland
509,peter hoekstra
510,peter king
511,peter torkildsen
512,peter visclosky
513,phil english
514,phil gingrey
515,philip crane
516,philip sharp
517,porter goss
518,rahm emanuel
519,ralph regula
520,randy cunningham
521,randy neugebauer
522,randy tate
523,raul grijalva
524,ray lahood
525,raymond thornton
526,ric keller
527,richard armey
528,richard burr
529,richard durbin
530,richard gephardt
531,richard hanna
532,richard neal
533,richard nolan
534,richard pombo
535,rick hill
536,rick larsen
537,rick lazio
538,rick renzi
539,rick santorum
540,rick white
541,rob bishop
542,rob portman
543,rob simmons
544,robert aderholt
545,robert andrews
546,robert borski
547,robert brady
548,robert dornan
549,robert ehrlich
550,robert goodlatte
551,robert latta
552,robert livingston
553,robert menendez
554,robert michel
555,robert ney
556,robert scott
557,robert torricelli
558,robert wexler
559,robert weygand
560,robert wise
561,robin hayes
562,rod blagojevich
563,rod grams
564,rodney alexander
565,rodney frelinghuysen
566,roger wicker
567,romano mazzoli
568,ron kind
569,ron klink
570,ron lewis
571,ron packard
572,ron paul
573,ron wyden
574,ronald dellums
575,ronald machtley
576,ronnie shows
577,rosa delauro
578,roscoe bartlett
579,roy blunt
580,ruben hinojosa
581,rush holt
582,sam brownback
583,sam coppersmith
584,sam farr
585,sam gejdenson
586,sam johnson
587,sander levin
588,sanford bishop
589,saxby chambliss
590,scott garrett
591,scott klug
592,scott mcinnis
593,scotty baesler
594,shelley berkley
595,shelley capito
596,sherrod brown
597,sherwood boehlert
598,sidney yates
599,silvestre reyes
600,solomon ortiz
601,sonny bono
602,spencer bachus
603,steny hoyer
604,stephanie herseth
605,stephanie jones
606,stephen buyer
607,stephen lynch
608,stevan pearce
609,steve chabot
610,steve cohen
611,steve israel
612,steve king
613,steve largent
614,steve stockman
615,steven gunderson
616,steven kuykendall
617,steven latourette
618,steven rothman
619,steven schiff
620,sue kelly
621,sue myrick
622,susan davis
623,susan molinari
624,tammy baldwin
625,ted strickland
626,terry everett
627,thaddeus mccotter
628,thomas allen
629,thomas andrews
630,thomas barrett
631,thomas bliley
632,thomas davis
633,thomas ewing
634,thomas foglietta
635,thomas manton
636,thomas petri
637,thomas reynolds
638,thomas ridge
639,thomas tancredo
640,tillie fowler
641,tim holden
642,tim hutchinson
643,tim murphy
644,tim valentine
645,timothy bishop
646,timothy johnson
647,timothy penny
648,tobias roth
649,todd platts
650,todd tiahrt
651,tom barlow
652,tom bevill
653,tom campbell
654,tom coburn
655,tom cole
656,tom delay
657,tom feeney
658,tom lantos
659,tom latham
660,tom osborne
661,tom udall
662,trent franks
663,van hilleary
664,vern buchanan
665,vernon ehlers
666,vic snyder
667,victor fazio
668,vince snowbarger
669,virgil goode
670,vito fossella
671,w akin
672,w hefner
673,w tauzin
674,wally herger
675,walter capps
676,walter jones
677,walter tucker
678,wayne allard
679,wayne gilchrest
680,wes cooley
681,wes watkins
682,william clinger
683,william delahunt
684,william ford
685,william hughes
686,william janklow
687,william jefferson
688,william jenkins
689,william keating
690,william lipinski
691,william luther
692,william martini
693,william natcher
694,william pascrell
695,william thornberry
696,william zeliff
697,willis gradison
698,xavier becerra
699,zach wamp
700,zoe lofgren
